"grp" "aphgrp" "subj" "contr" "sent" "item" "seg" "acc" "rt" "senttype"
"1855" "EC" "EC" 24001 "SOSS" "SS" 10 "e" 1 195 "base"
"1856" "EC" "EC" 24001 "SOSS" "SS" 10 "f" 1 NA "base"
"1857" "EC" "EC" 24001 "SOSS" "SS" 11 "a" 1 354 "base"
"1858" "EC" "EC" 24001 "SOSS" "SS" 11 "b" 1 669 "base"
"1859" "EC" "EC" 24001 "SOSS" "SS" 11 "c" 1 501 "base"
"1860" "EC" "EC" 24001 "SOSS" "SS" 11 "d" 1 393 "base"
"1861" "EC" "EC" 24001 "SOSS" "SS" 11 "e" 1 503 "base"
"1862" "EC" "EC" 24001 "SOSS" "SS" 11 "f" 1 NA "base"
"1863" "EC" "EC" 24001 "SOSS" "SS" 13 "a" 1 509 "base"
"1864" "EC" "EC" 24001 "SOSS" "SS" 13 "b" 1 509 "base"
"1865" "EC" "EC" 24001 "SOSS" "SS" 13 "c" 1 480 "base"
"1866" "EC" "EC" 24001 "SOSS" "SS" 13 "d" 1 435 "base"
"1867" "EC" "EC" 24001 "SOSS" "SS" 13 "e" 1 573 "base"
"1868" "EC" "EC" 24001 "SOSS" "SS" 13 "f" 1 NA "base"
"1869" "EC" "EC" 24001 "SOSS" "SS" 14 "a" 1 236 "base"
"1870" "EC" "EC" 24001 "SOSS" "SS" 14 "b" 1 378 "base"
"1871" "EC" "EC" 24001 "SOSS" "SS" 14 "c" 1 399 "base"
"1872" "EC" "EC" 24001 "SOSS" "SS" 14 "d" 1 437 "base"
"1873" "EC" "EC" 24001 "SOSS" "SS" 14 "e" 1 253 "base"
"1874" "EC" "EC" 24001 "SOSS" "SS" 14 "f" 1 NA "base"
"1875" "EC" "EC" 24001 "SOSS" "SS" 15 "a" 1 280 "base"
"1876" "EC" "EC" 24001 "SOSS" "SS" 15 "b" 1 486 "base"
"1877" "EC" "EC" 24001 "SOSS" "SS" 15 "c" 1 419 "base"
"1878" "EC" "EC" 24001 "SOSS" "SS" 15 "d" 1 283 "base"
"1879" "EC" "EC" 24001 "SOSS" "SS" 15 "e" 1 331 "base"
"1880" "EC" "EC" 24001 "SOSS" "SS" 15 "f" 1 NA "base"
"1881" "EC" "EC" 24001 "SOSS" "SS" 16 "a" 1 62 "base"
"1882" "EC" "EC" 24001 "SOSS" "SS" 16 "b" 1 301 "base"
"1883" "EC" "EC" 24001 "SOSS" "SS" 16 "c" 1 299 "base"
"1884" "EC" "EC" 24001 "SOSS" "SS" 16 "d" 1 281 "base"
"1885" "EC" "EC" 24001 "SOSS" "SS" 16 "e" 1 265 "base"
"1886" "EC" "EC" 24001 "SOSS" "SS" 16 "f" 1 NA "base"
"1887" "EC" "EC" 24001 "SOSS" "SS" 17 "a" 1 436 "base"
"1888" "EC" "EC" 24001 "SOSS" "SS" 17 "b" 1 668 "base"
"1889" "EC" "EC" 24001 "SOSS" "SS" 17 "c" 1 552 "base"
"1890" "EC" "EC" 24001 "SOSS" "SS" 17 "d" 1 505 "base"
